id,device_id,ts,activity,pp1,pp2,pp3,,action,power,power2,running
78920,3433,2024-05-17T20:11:50,running,,,,,,,2067,true
78922,3433,2024-05-17T20:12:06,running,,,,,,,2040,true
78924,3433,2024-05-17T20:12:21,running,,,,,,,2036,true
78926,3433,2024-05-17T20:12:36,running,,,,,,,2035,true
78928,3433,2024-05-17T20:12:51,running,,,,,,,2022,true
78930,3433,2024-05-17T20:13:07,running,,,,,,,2040,true
78932,3433,2024-05-17T20:13:22,running,,,,,,,2048,true
78934,3433,2024-05-17T20:13:37,running,,,,,,,2167,true
78936,3433,2024-05-17T20:13:53,running,,,,,,,2054,true
78938,3433,2024-05-17T20:14:08,running,,,,,,,2066,true
78940,3433,2024-05-17T20:14:23,running,,,,,,,2049,true
78942,3433,2024-05-17T20:14:38,running,,,,,,,2032,true
78944,3433,2024-05-17T20:14:54,running,,,,,,,2087,true
78946,3433,2024-05-17T20:15:09,running,,,,,,,2070,true
78948,3433,2024-05-17T20:15:24,running,,,,,,,2064,true
78950,3433,2024-05-17T20:15:39,running,,,,,,,2085,true
78952,3433,2024-05-17T20:15:55,running,,,,,,,2032,true
78954,3433,2024-05-17T20:16:10,running,,,,,,,2043,true
78956,3433,2024-05-17T20:16:25,running,,,,,,,2040,true
78958,3433,2024-05-17T20:16:41,running,,,,,,,2056,true
78960,3433,2024-05-17T20:16:56,running,,,,,,,2061,true
78962,3433,2024-05-17T20:17:11,running,,,,,,,2067,true
78964,3433,2024-05-17T20:17:26,running,,,,,,,2061,true
78966,3433,2024-05-17T20:17:42,running,,,,,,,2050,true
78968,3433,2024-05-17T20:17:57,running,,,,,,,2026,true
78970,3433,2024-05-17T20:18:12,running,,,,,,,2030,true
78972,3433,2024-05-17T20:18:28,running,,,,,,,2032,true
78974,3433,2024-05-17T20:18:43,running,,,,,,,2032,true
78976,3433,2024-05-17T20:18:58,running,,,,,,,2020,true
78978,3433,2024-05-17T20:19:13,running,,,,,,,2046,true
78980,3433,2024-05-17T20:19:29,running,,,,,,,2047,true
78982,3433,2024-05-17T20:19:44,running,,,,,,,2052,true
78984,3433,2024-05-17T20:19:59,running,,,,,,,2048,true
78986,3433,2024-05-17T20:20:15,running,,,,,,,2115,true
78988,3433,2024-05-17T20:20:30,running,,,,,,,2026,true
78990,3433,2024-05-17T20:20:46,running,,,,,,,2020,true
78992,3433,2024-05-17T20:21:01,running,,,,,,,2035,true
78994,3433,2024-05-17T20:21:16,running,,,,,,,2024,true
78996,3433,2024-05-17T20:21:31,running,,,,,,,2031,true
78998,3433,2024-05-17T20:21:47,running,,,,,,,2029,true
79000,3433,2024-05-17T20:22:02,running,,,,,,,2032,true
79002,3433,2024-05-17T20:22:17,running,,,,,,,2032,true
79004,3433,2024-05-17T20:22:32,running,,,,,,,1988,true
79006,3433,2024-05-17T20:22:48,running,,,,,,,2005,true
79008,3433,2024-05-17T20:23:03,running,,,,,,,2015,true
79010,3433,2024-05-17T20:23:18,running,,,,,,,2012,true
79012,3433,2024-05-17T20:23:34,running,,,,,,,1992,true
79014,3433,2024-05-17T20:23:49,running,,,,,,,2033,true
79016,3433,2024-05-17T20:24:04,running,,,,,,,2023,true
79018,3433,2024-05-17T20:24:19,running,,,,,,,2019,true
79020,3433,2024-05-17T20:24:35,running,,,,,,,2017,true
79022,3433,2024-05-17T20:24:50,running,,,,,,,1978,true
79024,3433,2024-05-17T20:25:05,running,,,,,,,2001,true
79026,3433,2024-05-17T20:25:21,running,,,,,,,1986,true
79028,3433,2024-05-17T20:25:36,running,,,,,,,2007,true
79030,3433,2024-05-17T20:25:51,running,,,,,,,1985,true
79032,3433,2024-05-17T20:26:06,running,,,,,,,1984,true
79034,3433,2024-05-17T20:26:22,running,,,,,,,1993,true
79036,3433,2024-05-17T20:26:37,running,,,,,,,117,true
79038,3433,2024-05-17T20:26:52,running,,,,,,,61,true
79040,3433,2024-05-17T20:27:07,running,,,,,,,48,true
79042,3433,2024-05-17T20:27:23,running,,,,,,,52,true
79044,3433,2024-05-17T20:27:38,running,,,,,,,205,true
79046,3433,2024-05-17T20:27:53,running,,,,,,,103,true
79048,3433,2024-05-17T20:28:09,running,,,,,,,57,true
79050,3433,2024-05-17T20:28:24,running,,,,,,,77,true
79052,3433,2024-05-17T20:28:39,running,,,,,,,55,true
79054,3433,2024-05-17T20:28:54,running,,,,,,,40,true
79056,3433,2024-05-17T20:29:10,running,,,,,,,48,true
79058,3433,2024-05-17T20:29:25,running,,,,,,,50,true
79060,3433,2024-05-17T20:29:40,running,,,,,,,110,true
79062,3433,2024-05-17T20:29:56,running,,,,,,,88,true
79064,3433,2024-05-17T20:30:11,running,,,,,,,79,true
79066,3433,2024-05-17T20:30:26,running,,,,,,,180,true
79068,3433,2024-05-17T20:30:41,running,,,,,,,110,true
79070,3433,2024-05-17T20:30:57,running,,,,,,,101,true
79072,3433,2024-05-17T20:31:12,running,,,,,,,100,true
79074,3433,2024-05-17T20:31:27,running,,,,,,,52,true
79076,3433,2024-05-17T20:31:42,running,,,,,,,170,true
79078,3433,2024-05-17T20:31:58,running,,,,,,,44,true
79080,3433,2024-05-17T20:32:13,running,,,,,,,60,true
79082,3433,2024-05-17T20:32:28,running,,,,,,,48,true
79084,3433,2024-05-17T20:32:44,running,,,,,,,40,true
79086,3433,2024-05-17T20:32:59,running,,,,,,,49,true
79088,3433,2024-05-17T20:33:14,running,,,,,,,50,true
79090,3433,2024-05-17T20:33:29,running,,,,,,,51,true
79092,3433,2024-05-17T20:33:45,running,,,,,,,56,true
79094,3433,2024-05-17T20:34:00,running,,,,,,,47,true
79096,3433,2024-05-17T20:34:15,running,,,,,,,156,true
79098,3433,2024-05-17T20:34:30,running,,,,,,,48,true
